"EndFiscalYear","Region_MostRecentPlacement","Institution_MostRecentPlacement","Gender","NumberIndividuals_RestrictiveConfinement","NumberIndividuals_Segregation"
2024,"Western","Elgin-Middlesex Detention Centre","Male",1559,1064
2024,"Western","Sarnia Jail","Female",75,33
2024,"Western","Sarnia Jail","Male",251,50
2024,"Western","South West Detention Centre","Female",242,8
2024,"Western","South West Detention Centre","Male",782,579
2024,"Western","Stratford Jail","Female",0,0
2024,"Western","Stratford Jail","Male",139,5
2025,"Central","Hamilton Wentworth Detention Centre","Female",105,76
2025,"Central","Hamilton Wentworth Detention Centre","Male",1605,482
2025,"Central","Maplehurst Correctional Complex","Female",4,3
2025,"Central","Maplehurst Correctional Complex","Male",4954,1056
2025,"Central","Niagara Detention Centre","Female",0,0
2025,"Central","Niagara Detention Centre","Male",508,386
2025,"Central","Vanier Centre for Women","Female",407,894
2025,"Central","Vanier Centre for Women","Male",3,6
2025,"Central","Ontario Correctional Institute","Female",0,0
2025,"Central","Ontario Correctional Institute","Male",5,0
2025,"Eastern","Brockville Jail","Female",0,0
2025,"Eastern","Brockville Jail","Male",168,21
2025,"Eastern","Central East Correctional Centre","Female",193,63
2025,"Eastern","Central East Correctional Centre","Male",1571,776
2025,"Eastern","Ottawa-Carleton Detention Centre","Female",297,132
2025,"Eastern","Ottawa-Carleton Detention Centre","Male",2073,311
2025,"Eastern","Quinte Detention Centre","Female",685,68
2025,"Eastern","Quinte Detention Centre","Male",881,46
2025,"Eastern","St. Lawrence Valley Correctional and Treatment Centre","Female",0,0
2025,"Eastern","St. Lawrence Valley Correctional and Treatment Centre","Male",0,0
2025,"Northern","Algoma Treatment and Remand Centre","Female",110,28
2025,"Northern","Algoma Treatment and Remand Centre","Male",464,207
2025,"Northern","Fort Frances Jail","Female",21,2
2025,"Northern","Fort Frances Jail","Male",9,5
2025,"Northern","Kenora Jail","Female",115,55
2025,"Northern","Kenora Jail","Male",242,94
2025,"Northern","Monteith Correctional Complex","Female",57,80
2025,"Northern","Monteith Correctional Complex","Male",148,158
2025,"Northern","North Bay Jail","Female",0,17
2025,"Northern","North Bay Jail","Male",0,54
2025,"Northern","Sudbury Jail","Female",101,55
2025,"Northern","Sudbury Jail","Male",451,311
2025,"Northern","Thunder Bay Correctional Centre","Female",139,85
2025,"Northern","Thunder Bay Correctional Centre","Male",224,71
2025,"Northern","Thunder Bay Jail","Female",0,0
2025,"Northern","Thunder Bay Jail","Male",251,198
2025,"Toronto","Toronto East Detention Centre","Female",0,1
2025,"Toronto","Toronto East Detention Centre","Male",282,358
2025,"Toronto","Toronto South Detention Centre","Female",19,16
2025,"Toronto","Toronto South Detention Centre","Male",5023,1134
2025,"Western","Central North Correctional Centre","Female",116,80
2025,"Western","Central North Correctional Centre","Male",667,717
2025,"Western","Elgin-Middlesex Detention Centre","Female",207,151
2025,"Western","Elgin-Middlesex Detention Centre","Male",1705,720
2025,"Western","Sarnia Jail","Female",51,30
2025,"Western","Sarnia Jail","Male",273,106
2025,"Western","South West Detention Centre","Female",194,52
2025,"Western","South West Detention Centre","Male",634,493
2025,"Western","Stratford Jail","Female",0,0
2025,"Western","Stratford Jail","Male",83,10
